Generated by http://statistics.gov.scot,2020-12-07T13:29:45+00:00
http://statistics.gov.scot/data/age-at-first-birth,Age of First Time Mothers
Reference Period,2013/14-2015/16
Age,19 years and under
Measure (cell values): ,"Count(First Time Mothers), Ratio(Percent Of First Time Mothers)"

,,http://statistics.gov.scot/def/measure-properties/count,http://statistics.gov.scot/def/measure-properties/ratio
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Count,Ratio
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,5920,8.41
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,222,5.41
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,192,5.23
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,122,8.58
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,81,8.62
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,270,4.96
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,93,12.99
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,184,11.47
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,253,12.05
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,174,10.54
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,44,3.52
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,85,10.08
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,29,2.94
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,193,8.09
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,578,11.6
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,748,7.5
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,268,9.39
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,87,9.25
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,98,11.42
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,120,9.96
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,25,8.36
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,218,13.49
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,481,10.21
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,13,5.31
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,132,7.5
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,182,7.79
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,103,8.16
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,26,5.62
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,131,9.79
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,364,8.38
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,97,8.22
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,140,11.29
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,167,9.95
http://statistics.gov.scot/id/statistical-geography/S16000074,Aberdeen Central,54,3.35
http://statistics.gov.scot/id/statistical-geography/S16000075,Aberdeen Donside,104,7.08
http://statistics.gov.scot/id/statistical-geography/S16000076,Aberdeen South and North Kincardine,69,5.39
http://statistics.gov.scot/id/statistical-geography/S16000077,Aberdeenshire East,57,4.7
http://statistics.gov.scot/id/statistical-geography/S16000078,Aberdeenshire West,29,2.89
http://statistics.gov.scot/id/statistical-geography/S16000079,Airdrie and Shotts,116,12.33
http://statistics.gov.scot/id/statistical-geography/S16000080,Almond Valley,78,10.03
http://statistics.gov.scot/id/statistical-geography/S16000081,Angus North and Mearns,79,8.09
http://statistics.gov.scot/id/statistical-geography/S16000082,Angus South,57,6.98
http://statistics.gov.scot/id/statistical-geography/S16000083,Argyll and Bute,63,8.7
http://statistics.gov.scot/id/statistical-geography/S16000084,Ayr,82,9.09
http://statistics.gov.scot/id/statistical-geography/S16000085,Banffshire and Buchan Coast,111,11.14
http://statistics.gov.scot/id/statistical-geography/S16000086,"Caithness, Sutherland and Ross",96,12.85
http://statistics.gov.scot/id/statistical-geography/S16000087,"Carrick, Cumnock and Doon Valley",114,11.67
http://statistics.gov.scot/id/statistical-geography/S16000088,Clackmannanshire and Dunblane,97,11.62
http://statistics.gov.scot/id/statistical-geography/S16000089,Clydebank and Milngavie,87,9.89
http://statistics.gov.scot/id/statistical-geography/S16000090,Clydesdale,84,9.81
http://statistics.gov.scot/id/statistical-geography/S16000091,Coatbridge and Chryston,97,8.92
http://statistics.gov.scot/id/statistical-geography/S16000092,Cowdenbeath,116,11.47
http://statistics.gov.scot/id/statistical-geography/S16000093,Cumbernauld and Kilsyth,84,10.37
http://statistics.gov.scot/id/statistical-geography/S16000094,Cunninghame North,101,13.27
http://statistics.gov.scot/id/statistical-geography/S16000095,Cunninghame South,117,13.68
http://statistics.gov.scot/id/statistical-geography/S16000096,Dumbarton,78,9.2
http://statistics.gov.scot/id/statistical-geography/S16000097,Dumfriesshire,85,10.61
http://statistics.gov.scot/id/statistical-geography/S16000098,Dundee City East,126,12.02
http://statistics.gov.scot/id/statistical-geography/S16000099,Dundee City West,127,12.07
http://statistics.gov.scot/id/statistical-geography/S16000100,Dunfermline,103,8.93
http://statistics.gov.scot/id/statistical-geography/S16000101,East Kilbride,60,6.44
http://statistics.gov.scot/id/statistical-geography/S16000102,East Lothian,52,9.19
http://statistics.gov.scot/id/statistical-geography/S16000103,Eastwood,8,1.12
http://statistics.gov.scot/id/statistical-geography/S16000104,Edinburgh Central,16,1.71
http://statistics.gov.scot/id/statistical-geography/S16000105,Edinburgh Eastern,83,8.54
http://statistics.gov.scot/id/statistical-geography/S16000106,Edinburgh Northern and Leith,59,4.35
http://statistics.gov.scot/id/statistical-geography/S16000107,Edinburgh Pentlands,56,8.22
http://statistics.gov.scot/id/statistical-geography/S16000108,Edinburgh Southern,15,2.06
http://statistics.gov.scot/id/statistical-geography/S16000109,Edinburgh Western,41,5.35
http://statistics.gov.scot/id/statistical-geography/S16000111,"Ettrick, Roxburgh and Berwickshire",68,8.71
http://statistics.gov.scot/id/statistical-geography/S16000112,Falkirk East,87,7.57
http://statistics.gov.scot/id/statistical-geography/S16000113,Falkirk West,106,8.58
http://statistics.gov.scot/id/statistical-geography/S16000114,Galloway and West Dumfries,99,12.33
http://statistics.gov.scot/id/statistical-geography/S16000115,Glasgow Anniesland,93,8.03
http://statistics.gov.scot/id/statistical-geography/S16000116,Glasgow Cathcart,77,5.96
http://statistics.gov.scot/id/statistical-geography/S16000117,Glasgow Kelvin,24,1.82
http://statistics.gov.scot/id/statistical-geography/S16000118,Glasgow Maryhill and Springburn,113,9.4
http://statistics.gov.scot/id/statistical-geography/S16000119,Glasgow Pollok,123,9.98
http://statistics.gov.scot/id/statistical-geography/S16000147,Glasgow Provan,130,10.51
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,88,7.25
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,100,7.56
http://statistics.gov.scot/id/statistical-geography/S16000123,Greenock and Inverclyde,87,9.75
http://statistics.gov.scot/id/statistical-geography/S16000124,"Hamilton, Larkhall and Stonehouse",97,9.54
http://statistics.gov.scot/id/statistical-geography/S16000125,Inverness and Nairn,114,8.98
http://statistics.gov.scot/id/statistical-geography/S16000126,Kilmarnock and Irvine Valley,109,9.82
http://statistics.gov.scot/id/statistical-geography/S16000127,Kirkcaldy,180,15.56
http://statistics.gov.scot/id/statistical-geography/S16000128,Linlithgow,89,9.89
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,117,12.26
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,98,11.71
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",68,8.73
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,96,9.3
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,107,10.11
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,25,8.36
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,62,8.77
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,13,5.31
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,85,7.89
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,59,7.07
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,73,7.87
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,48,6.2
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,70,8.66
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,108,8.35
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,26,5.62
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",58,6.92
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,93,8.77
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,37,3.78
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,92,8.63
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,523,11.36
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,103,8.16
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,184,11.47
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,578,11.6
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,383,8.95
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,534,5.95
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,1230,7.35
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,349,9.2
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,845,9.33
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,620,7.03
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,13,5.31
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,26,5.62
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,507,9.6
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,25,8.36
http://statistics.gov.scot/id/statistical-geography/S13002537,Abbey,7,7
http://statistics.gov.scot/id/statistical-geography/S13002503,"Aboyne, Upper Deeside and Donside",1,0.93
http://statistics.gov.scot/id/statistical-geography/S13002715,"Abronhill, Kildrum and the Village",27,12.92
http://statistics.gov.scot/id/statistical-geography/S13002674,Aird and Loch Ness,5,4.46
http://statistics.gov.scot/id/statistical-geography/S13002719,Airdrie Central,36,17.22
http://statistics.gov.scot/id/statistical-geography/S13002718,Airdrie North,25,8.96
http://statistics.gov.scot/id/statistical-geography/S13002722,Airdrie South,36,13.74
http://statistics.gov.scot/id/statistical-geography/S13002486,Airyhall / Broomhill / Garthdee,8,2.84
http://statistics.gov.scot/id/statistical-geography/S13002583,Almond,11,4.93
http://statistics.gov.scot/id/statistical-geography/S13002746,Almond and Earn,8,6.35
http://statistics.gov.scot/id/statistical-geography/S13002608,An Taobh Siar agus Nis,3,8.82
http://statistics.gov.scot/id/statistical-geography/S13002650,Anderston / City,7,1.66
http://statistics.gov.scot/id/statistical-geography/S13002544,Annandale East and Eskdale,9,10
http://statistics.gov.scot/id/statistical-geography/S13002543,Annandale North,13,8.97
http://statistics.gov.scot/id/statistical-geography/S13002542,Annandale South,26,16.88
http://statistics.gov.scot/id/statistical-geography/S13002553,Annick,6,3.77
http://statistics.gov.scot/id/statistical-geography/S13002514,Arbroath East and Lunan,29,12.5
http://statistics.gov.scot/id/statistical-geography/S13002513,Arbroath West and Letham,8,4.1
http://statistics.gov.scot/id/statistical-geography/S13002708,Ardrossan and Arran,27,14.06
http://statistics.gov.scot/id/statistical-geography/S13002828,Armadale and Blackridge,14,8.48
http://statistics.gov.scot/id/statistical-geography/S13002791,Avondale and Stonehouse,11,7.43
http://statistics.gov.scot/id/statistical-geography/S13002782,Ayr East,12,7.5
http://statistics.gov.scot/id/statistical-geography/S13002781,Ayr North,39,14.08
http://statistics.gov.scot/id/statistical-geography/S13002783,Ayr West,6,3.92
http://statistics.gov.scot/id/statistical-geography/S13002682,Badenoch and Strathspey,8,6.02
http://statistics.gov.scot/id/statistical-geography/S13002660,Baillieston,39,8.65
http://statistics.gov.scot/id/statistical-geography/S13002559,Ballochmyle,27,13.85
http://statistics.gov.scot/id/statistical-geography/S13002504,Banchory and Mid Deeside,0,0
http://statistics.gov.scot/id/statistical-geography/S13002489,Banff and District,9,8.91
http://statistics.gov.scot/id/statistical-geography/S13002813,Bannockburn,18,8.29
http://statistics.gov.scot/id/statistical-geography/S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",2,7.14
http://statistics.gov.scot/id/statistical-geography/S13002578,Barrhead,20,8.93
http://statistics.gov.scot/id/statistical-geography/S13002827,Bathgate,21,7.98
http://statistics.gov.scot/id/statistical-geography/S13002563,Bearsden North,1,0.66
http://statistics.gov.scot/id/statistical-geography/S13002564,Bearsden South,0,0
http://statistics.gov.scot/id/statistical-geography/S13002601,Beinn na Foghla agus Uibhist a Tuath,2,8
http://statistics.gov.scot/id/statistical-geography/S13002725,Bellshill,23,10.75
http://statistics.gov.scot/id/statistical-geography/S13002566,Bishopbriggs North and Torrance,3,2.31
http://statistics.gov.scot/id/statistical-geography/S13002833,Bishopbriggs South,5,3.18
http://statistics.gov.scot/id/statistical-geography/S13002759,"Bishopton, Bridge of Weir & Langbank",4,4.4
http://statistics.gov.scot/id/statistical-geography/S13002671,Black Isle,3,2.8
http://statistics.gov.scot/id/statistical-geography/S13002740,Blairgowrie and Glens,8,6.35
http://statistics.gov.scot/id/statistical-geography/S13002801,Blantyre,23,8.91
http://statistics.gov.scot/id/statistical-geography/S13002609,Bo'ness and Blackness,19,7.98
http://statistics.gov.scot/id/statistical-geography/S13002613,Bonnybridge and Larbert,19,7.92
http://statistics.gov.scot/id/statistical-geography/S13002691,Bonnyrigg,14,8.81
http://statistics.gov.scot/id/statistical-geography/S13002802,Bothwell and Uddingston,6,3.68
http://statistics.gov.scot/id/statistical-geography/S13002509,Brechin and Edzell,22,14.29
http://statistics.gov.scot/id/statistical-geography/S13002477,Bridge of Don,8,2.27
http://statistics.gov.scot/id/statistical-geography/S13002821,"Broxburn, Uphall and Winchburgh",26,15.48
http://statistics.gov.scot/id/statistical-geography/S13002640,"Buckhaven, Methil and Wemyss Villages",63,22.99
http://statistics.gov.scot/id/statistical-geography/S13002698,Buckie,17,12.69
http://statistics.gov.scot/id/statistical-geography/S13002627,"Burntisland, Kinghorn and Western Kirkcaldy",15,9.55
http://statistics.gov.scot/id/statistical-geography/S13002582,"Busby, Clarkston and Eaglesham",3,2.24
http://statistics.gov.scot/id/statistical-geography/S13002649,Calton,35,7.17
http://statistics.gov.scot/id/statistical-geography/S13002800,Cambuslang East,17,4.97
http://statistics.gov.scot/id/statistical-geography/S13002799,Cambuslang West,26,8.93
http://statistics.gov.scot/id/statistical-geography/S13002565,Campsie and Kirkintilloch North,5,3.29
http://statistics.gov.scot/id/statistical-geography/S13002656,Canal,39,6.82
http://statistics.gov.scot/id/statistical-geography/S13002673,Caol and Mallaig,9,12.33
http://statistics.gov.scot/id/statistical-geography/S13002512,Carnoustie and District,8,5.97
http://statistics.gov.scot/id/statistical-geography/S13002738,Carse of Gowrie,6,3.9
http://statistics.gov.scot/id/statistical-geography/S13002612,"Carse, Kinnaird and Tryst",18,6.23
http://statistics.gov.scot/id/statistical-geography/S13002810,Castle,23,12.17
http://statistics.gov.scot/id/statistical-geography/S13002536,Castle Douglas and Glenkens,6,6.45
http://statistics.gov.scot/id/statistical-geography/S13002492,Central Buchan,10,4.83
http://statistics.gov.scot/id/statistical-geography/S13002593,City Centre,2,0.93
http://statistics.gov.scot/id/statistical-geography/S13002529,Clackmannanshire Central,28,18.3
http://statistics.gov.scot/id/statistical-geography/S13002531,Clackmannanshire East,11,13.25
http://statistics.gov.scot/id/statistical-geography/S13002528,Clackmannanshire North,14,10.94
http://statistics.gov.scot/id/statistical-geography/S13002530,Clackmannanshire South,24,12.57
http://statistics.gov.scot/id/statistical-geography/S13002527,Clackmannanshire West,16,9.94
http://statistics.gov.scot/id/statistical-geography/S13002818,Clydebank Central,28,13.79
http://statistics.gov.scot/id/statistical-geography/S13002819,Clydebank Waterfront,31,12.45
http://statistics.gov.scot/id/statistical-geography/S13002789,Clydesdale East,13,9.63
http://statistics.gov.scot/id/statistical-geography/S13002788,Clydesdale North,23,13.37
http://statistics.gov.scot/id/statistical-geography/S13002790,Clydesdale South,17,9.88
http://statistics.gov.scot/id/statistical-geography/S13002787,Clydesdale West,28,9.59
http://statistics.gov.scot/id/statistical-geography/S13002717,Coatbridge North and Glenboig,27,10.19
http://statistics.gov.scot/id/statistical-geography/S13002721,Coatbridge South,21,8.71
http://statistics.gov.scot/id/statistical-geography/S13002720,Coatbridge West,28,13.21
http://statistics.gov.scot/id/statistical-geography/S13002548,Coldside,42,11.6
http://statistics.gov.scot/id/statistical-geography/S13002590,Colinton / Fairmilehead,13,5.83
http://statistics.gov.scot/id/statistical-geography/S13002588,Corstorphine / Murrayfield,2,0.92
http://statistics.gov.scot/id/statistical-geography/S13002521,Cowal,2,4
http://statistics.gov.scot/id/statistical-geography/S13002625,Cowdenbeath,20,8.58
http://statistics.gov.scot/id/statistical-geography/S13002596,Craigentinny / Duddingston,12,3.63
http://statistics.gov.scot/id/statistical-geography/S13002644,Craigton,37,8.85
http://statistics.gov.scot/id/statistical-geography/S13002668,Cromarty Firth,25,16.56
http://statistics.gov.scot/id/statistical-geography/S13002679,Culloden and Ardersier,16,10.96
http://statistics.gov.scot/id/statistical-geography/S13002713,Cumbernauld North,8,4.17
http://statistics.gov.scot/id/statistical-geography/S13002714,Cumbernauld South,34,13.28
http://statistics.gov.scot/id/statistical-geography/S13002560,Cumnock and New Cumnock,21,11.17
http://statistics.gov.scot/id/statistical-geography/S13002638,Cupar,19,11.45
http://statistics.gov.scot/id/statistical-geography/S13002692,Dalkeith,26,16.46
http://statistics.gov.scot/id/statistical-geography/S13002709,Dalry and West Kilbride,18,13.33
http://statistics.gov.scot/id/statistical-geography/S13002535,Dee,8,9.3
http://statistics.gov.scot/id/statistical-geography/S13002611,Denny and Banknock,24,8.54
http://statistics.gov.scot/id/statistical-geography/S13002670,Dingwall and Seaforth,21,10.61
http://statistics.gov.scot/id/statistical-geography/S13002561,Doon Valley,17,10.76
http://statistics.gov.scot/id/statistical-geography/S13002585,Drum Brae / Gyle,9,3.52
http://statistics.gov.scot/id/statistical-geography/S13002654,Drumchapel / Anniesland,53,11.37
http://statistics.gov.scot/id/statistical-geography/S13002816,Dumbarton,13,5.06
http://statistics.gov.scot/id/statistical-geography/S13002576,Dunbar and East Linton,5,5.68
http://statistics.gov.scot/id/statistical-geography/S13002809,Dunblane and Bridge of Allan,4,3.36
http://statistics.gov.scot/id/statistical-geography/S13002620,Dunfermline Central,26,9.35
http://statistics.gov.scot/id/statistical-geography/S13002619,Dunfermline North,24,11.21
http://statistics.gov.scot/id/statistical-geography/S13002621,Dunfermline South,31,6.94
http://statistics.gov.scot/id/statistical-geography/S13002522,Dunoon,17,18.68
http://statistics.gov.scot/id/statistical-geography/S13002476,Dyce / Bucksburn / Danestone,13,3.98
http://statistics.gov.scot/id/statistical-geography/S13002767,East Berwickshire,13,10.66
http://statistics.gov.scot/id/statistical-geography/S13002658,East Centre,57,10.73
http://statistics.gov.scot/id/statistical-geography/S13002551,East End,40,19.23
http://statistics.gov.scot/id/statistical-geography/S13002500,East Garioch,5,2.33
http://statistics.gov.scot/id/statistical-geography/S13002794,East Kilbride Central North,12,5.71
http://statistics.gov.scot/id/statistical-geography/S13002793,East Kilbride Central South,9,5.56
http://statistics.gov.scot/id/statistical-geography/S13002796,East Kilbride East,14,8.64
http://statistics.gov.scot/id/statistical-geography/S13002792,East Kilbride South,23,9.75
http://statistics.gov.scot/id/statistical-geography/S13002795,East Kilbride West,2,1.26
http://statistics.gov.scot/id/statistical-geography/S13002824,East Livingston and East Calder,18,9.38
http://statistics.gov.scot/id/statistical-geography/S13002736,"East Mainland, South Ronaldsay and Burray",2,4
http://statistics.gov.scot/id/statistical-geography/S13002637,East Neuk and Landward,13,9.77
http://statistics.gov.scot/id/statistical-geography/S13002666,East Sutherland and Edderton,8,12.5
http://statistics.gov.scot/id/statistical-geography/S13002672,Eilean a' Chèo,2,1.96
http://statistics.gov.scot/id/statistical-geography/S13002701,Elgin City North,25,10.64
http://statistics.gov.scot/id/statistical-geography/S13002702,Elgin City South,9,5.36
http://statistics.gov.scot/id/statistical-geography/S13002497,Ellon and District,11,4.95
http://statistics.gov.scot/id/statistical-geography/S13002760,Erskine & Inchinnan,11,6.88
http://statistics.gov.scot/id/statistical-geography/S13002573,Fa'side,18,10.11
http://statistics.gov.scot/id/statistical-geography/S13002614,Falkirk North,35,9.86
http://statistics.gov.scot/id/statistical-geography/S13002615,Falkirk South,25,9.43
http://statistics.gov.scot/id/statistical-geography/S13002825,Fauldhouse and the Breich Valley,12,8.7
http://statistics.gov.scot/id/statistical-geography/S13002699,Fochabers Lhanbryde,17,13.49
http://statistics.gov.scot/id/statistical-geography/S13002510,Forfar and District,18,9.38
http://statistics.gov.scot/id/statistical-geography/S13002703,Forres,9,4.92
http://statistics.gov.scot/id/statistical-geography/S13002683,Fort William and Ardnamurchan,14,10.22
http://statistics.gov.scot/id/statistical-geography/S13002586,Forth,42,9.59
http://statistics.gov.scot/id/statistical-geography/S13002808,Forth and Endrick,5,4.67
http://statistics.gov.scot/id/statistical-geography/S13002723,Fortissat,19,9.95
http://statistics.gov.scot/id/statistical-geography/S13002591,Fountainbridge / Craiglockhart,3,1.03
http://statistics.gov.scot/id/statistical-geography/S13002491,Fraserburgh and District,23,9.39
http://statistics.gov.scot/id/statistical-geography/S13002763,Galashiels and District,20,10.75
http://statistics.gov.scot/id/statistical-geography/S13002653,Garscadden / Scotstounhill,34,7.56
http://statistics.gov.scot/id/statistical-geography/S13002483,George St / Harbour,13,3.58
http://statistics.gov.scot/id/statistical-geography/S13002579,Giffnock and Thornliebank,2,1.36
http://statistics.gov.scot/id/statistical-geography/S13002786,Girvan and South Carrick,18,18.37
http://statistics.gov.scot/id/statistical-geography/S13002633,Glenrothes Central and Thornton,25,12.02
http://statistics.gov.scot/id/statistical-geography/S13002632,"Glenrothes North, Leslie and Markinch",28,11.91
http://statistics.gov.scot/id/statistical-geography/S13002631,Glenrothes West and Kinglassie,34,12.78
http://statistics.gov.scot/id/statistical-geography/S13002645,Govan,30,5.18
http://statistics.gov.scot/id/statistical-geography/S13002610,Grangemouth,30,11.9
http://statistics.gov.scot/id/statistical-geography/S13002643,Greater Pollok,67,12.52
http://statistics.gov.scot/id/statistical-geography/S13002575,Haddington and Lammermuir,12,13.04
http://statistics.gov.scot/id/statistical-geography/S13002803,Hamilton North and East,18,7.79
http://statistics.gov.scot/id/statistical-geography/S13002805,Hamilton South,23,8.81
http://statistics.gov.scot/id/statistical-geography/S13002804,Hamilton West and Earnock,28,9.43
http://statistics.gov.scot/id/statistical-geography/S13002770,Hawick and Denholm,19,15.45
http://statistics.gov.scot/id/statistical-geography/S13002771,Hawick and Hermitage,11,10
http://statistics.gov.scot/id/statistical-geography/S13002485,Hazlehead / Ashley / Queens Cross,6,1.82
http://statistics.gov.scot/id/statistical-geography/S13002700,Heldon and Laich,19,11.59
http://statistics.gov.scot/id/statistical-geography/S13002525,Helensburgh Central,10,11.76
http://statistics.gov.scot/id/statistical-geography/S13002526,Helensburgh and Lomond South,3,4.05
http://statistics.gov.scot/id/statistical-geography/S13002741,Highland,4,4.94
http://statistics.gov.scot/id/statistical-geography/S13002651,Hillhead,9,2
http://statistics.gov.scot/id/statistical-geography/S13002480,Hilton / Woodside / Stockethill,19,5.9
http://statistics.gov.scot/id/statistical-geography/S13002758,"Houston, Crosslee & Linwood",17,9.04
http://statistics.gov.scot/id/statistical-geography/S13002634,Howe of Fife and Tay Coast,11,6.88
http://statistics.gov.scot/id/statistical-geography/S13002502,"Huntly, Strathbogie and Howe of Alford",13,6.7
http://statistics.gov.scot/id/statistical-geography/S13002684,Inverclyde East,22,11.96
http://statistics.gov.scot/id/statistical-geography/S13002685,Inverclyde East Central,21,9.21
http://statistics.gov.scot/id/statistical-geography/S13002686,Inverclyde North,10,5.52
http://statistics.gov.scot/id/statistical-geography/S13002687,Inverclyde South,18,11.76
http://statistics.gov.scot/id/statistical-geography/S13002689,Inverclyde South West,11,10.58
http://statistics.gov.scot/id/statistical-geography/S13002688,Inverclyde West,5,5.49
http://statistics.gov.scot/id/statistical-geography/S13002623,Inverkeithing and Dalgety Bay,16,7.73
http://statistics.gov.scot/id/statistical-geography/S13002587,Inverleith,8,2.3
